name,level,school,casting_time,range,components,duration,description
Stoneskin,4th,Concentration,"Transmutation • V, S, M",1 Hour,,1 Action,"Buff 4th 1 Action Touch V, S, M * Concentration 1 Hour Transmutation None Buff Until the spell ends, one willing creature you touch has Resistance to Bludgeoning, Piercing, and Slashing damage. * - (diamond dust worth 100+ GP, which the spell consumes)"
Storm of Vengeance,9th,Concentration,"Conjuration • V, S",1 Minute,,1 Action,"CON Save Thunder (...) 9th 1 Action 1 mile V, S Concentration 1 Minute Conjuration CON Save Thunder (...) A churning storm cloud forms for the duration, centered on a point within range and spreading to a radius of 300 feet. Each creature under the cloud when it appears must succeed on a Constitution saving throw or take 2d6 Thunder damage and have the Deafened condition for the duration. At the start of each of your later turns, the storm produces different effects, as detailed below. Turn 2. Acidic rain falls. Each creature and object under the cloud takes 4d6 Acid damage. Turn 3. You call six bolts of lightning from the cloud to strike six different creatures or objects beneath it. Each target makes a Dexterity saving throw, taking 10d6 Lightning damage on a failed save or half as much damage on a successful one. Turn 4. Hailstones rain down. Each creature under the cloud takes 2d6 Bludgeoning damage. Turns 5–10. Gusts and freezing rain assail the area under the cloud. Each creature there takes 1d6 Cold damage. Until the spell ends, the area is Difficult Terrain and Heavily Obscured, ranged attacks with weapons are impossible there, and strong wind blows through the area."
Suggestion,2nd,Concentration,"Enchantment • V, M",8 Hours,,1 Action,"WIS Save Control (...) 2nd 1 Action 30 ft. V, M * Concentration 8 Hours Enchantment WIS Save Control (...) You suggest a course of activity—described in no more than 25 words—to one creature you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to the target or its allies. For example, you could say, “Fetch the key to the cult’s treasure vault, and give the key to me.” Or you could say, “Stop fighting, leave this library peacefully, and don’t return.” The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. The Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for the target upon completing it. * - (a drop of honey)"
Summon Aberration,4th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 4th 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth an aberrant spirit. It manifests in an unoccupied space that you can see within range and uses the Aberrant Spirit stat block. When you cast the spell, choose Beholderkin, Mind Flayer, or Slaad. The creature resembles an Aberration of that kind, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, it shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Aberrant Spirit Medium Aberration, Neutral AC 11 + the spell’s level HP 40 + 10 for each spell level above 4 Speed 30 ft.; Fly 30 ft. (hover; Beholderkin only) Mod	Save STR	16	+3	+3 DEX	10	+0	+0 CON	15	+2	+2 Mod	Save INT	16	+3	+3 WIS	10	+0	+0 CHA	6	−2	−2 Immunities Psychic Senses Darkvision 60 ft.; Passive Perception 10 Languages Deep Speech, understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Regeneration (Slaad Only). The spirit regains 5 Hit Points at the start of its turn if it has at least 1 Hit Point. Whispering Aura (Mind Flayer Only). At the start of each of the spirit’s turns, the spirit emits psionic energy if it doesn’t have the Incapacitated condition. Wisdom Saving Throw: DC equals your spell save DC, each creature (other than you) within 5 feet of the spirit. Failure: 2d6 Psychic damage. Actions Multiattack. The spirit makes a number of attacks equal to half this spell’s level (round down). Claw (Slaad Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell’s level Slashing damage, and the target can’t regain Hit Points until the start of the spirit’s next turn. Eye Ray (Beholderkin Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 1d8 + 3 + the spell’s level Psychic damage. Psychic Slam (Mind Flayer Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell’s level Psychic damage. * - (a pickled tentacle and an eyeball in a platinum-inlaid vial worth 400+ GP)"
Summon Beast,2nd,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 2nd 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range and uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Bestial Spirit Small Beast, Neutral AC 11 + the spell’s level HP 20 (Air only) or 30 (Land and Water only) + 5 for each spell level above 2 Speed 30 ft.; Climb 30 ft. (Land only); Fly 60 ft. (Air only); Swim 30 ft. (Water only) Mod	Save STR	18	+4	+4 DEX	11	+0	+0 CON	16	+3	+3 Mod	Save INT	4	–3	–3 WIS	14	+2	+2 CHA	5	−3	−3 Senses Darkvision 60 ft.; Passive Perception 12 Languages Understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Flyby (Air Only). The spirit doesn’t provoke Opportunity Attacks when it flies out of an enemy’s reach. Pack Tactics (Land and Water Only). The spirit has Advantage on an attack roll against a creature if at least one of the spirit’s allies is within 5 feet of the creature and the ally doesn’t have the Incapacitated condition. Water Breathing (Water Only). The spirit can breathe only underwater. Actions Multiattack. The spirit makes a number of Rend attacks equal to half this spell’s level (round down). Rend. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 4 + the spell’s level Piercing damage. * - (a feather, tuft of fur, and fish tail inside a gilded acorn worth 200+ GP)"
Summon Celestial,5th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 5th 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth a Celestial spirit. It manifests in an angelic form in an unoccupied space that you can see within range and uses the Celestial Spirit stat block. When you cast the spell, choose Avenger or Defender. Your choice determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Celestial Spirit Large Celestial, Neutral AC 11 + the spell’s level + 2 (Defender only) HP 40 + 10 for each spell level above 5 Speed 30 ft., Fly 40 ft. Mod	Save STR	16	+3	+3 DEX	14	+2	+2 CON	16	+3	+3 Mod	Save INT	10	+0	+0 WIS	14	+2	+2 CHA	16	+3	+3 Resistances Radiant Immunities Charmed, Frightened Senses Darkvision 60 ft.; Passive Perception 12 Languages Celestial, understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Actions Multiattack. The spirit makes a number of attacks equal to half this spell’s level (round down). Radiant Bow (Avenger Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 600 ft. Hit: 2d6 + 2 + the spell’s level Radiant damage. Radiant Mace (Defender Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell’s level Radiant damage, and the spirit can choose itself or another creature it can see within 10 feet of the target. The chosen creature gains 1d10 Temporary Hit Points. Healing Touch (1/Day). The spirit touches another creature. The target regains Hit Points equal to 2d8 + the spell’s level. * - (a reliquary worth 500+ GP)"
Summon Construct,4th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 4th 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth the spirit of a Construct. It manifests in an unoccupied space that you can see within range and uses the Construct Spirit stat block. When you cast the spell, choose a material: Clay, Metal, or Stone. The creature resembles an animate statue (you determine the appearance) made of the chosen material, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Construct Spirit Medium Construct, Neutral AC 13 + the spell’s level HP 40 + 15 for each spell level above 4 Speed 30 ft. Mod	Save STR	18	+4	+4 DEX	10	+0	+0 CON	18	+4	+4 Mod	Save INT	14	+2	+2 WIS	11	+0	+0 CHA	5	−3	−3 Resistances Poison Immunities Charmed, Exhaustion, Frightened, Paralyzed, Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Heated Body (Metal Only). A creature that hits the spirit with a melee attack or that starts its turn in a grapple with the spirit takes 1d10 Fire damage. Stony Lethargy (Stone Only). When a creature starts its turn within 10 feet of the spirit, the spirit can target it with magical energy if the spirit can see it. Wisdom Saving Throw: DC equals your spell save DC, the target. Failure: Until the start of its next turn, the target can’t make Opportunity Attacks, and its Speed is halved. Actions Multiattack. The spirit makes a number of Slam attacks equal to half this spell’s level (round down). Slam. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 4 + the spell’s level Bludgeoning damage. Reactions Berserk Lashing (Clay Only). Trigger: The spirit takes damage from a creature. Response: The spirit makes a Slam attack against that creature if possible, or the spirit moves up to half its Speed toward that creature without provoking Opportunity Attacks. * - (a lockbox worth 400+ GP)"
Summon Dragon,5th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"5th 1 Action 60 ft. V, S, M * Concentration 1 Hour Conjuration None You call forth a Dragon spirit. It manifests in an unoccupied space that you can see within range and uses the Draconic Spirit stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Draconic Spirit Large Dragon, Neutral AC 14 + the spell’s level HP 50 + 10 for each spell level above 5 Speed 30 ft., Fly 60 ft., Swim 30 ft. Mod	Save STR	19	+4	+4 DEX	14	+2	+2 CON	17	+3	+3 Mod	Save INT	10	+0	+0 WIS	14	+2	+2 CHA	14	+2	+2 Resistances Acid, Cold, Fire, Lightning, Poison Immunities Charmed, Frightened, Poisoned Senses Blindsight 30 ft., Darkvision 60 ft.; Passive Perception 12 Languages Draconic, understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Shared Resistances. When you summon the spirit, choose one of its Resistances. You have Resistance to the chosen damage type until the spell ends. Actions Multiattack. The spirit makes a number of Rend attacks equal to half the spell’s level (round down), and it uses Breath Weapon. Rend. Melee Attack Roll: Bonus equals your spell attack modifier, reach 10 feet. Hit:1d6 + 4 + the spell’s level Piercing damage. Breath Weapon. Dexterity Saving Throw: DC equals your spell save DC, each creature in a 30-foot Cone. Failure: 2d6 damage of a type this spirit has Resistance to (your choice when you cast the spell). Success: Half damage. * - (an object with the image of a dragon engraved on it worth 500+ GP)"
Summon Elemental,4th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 4th 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth an Elemental spirit. It manifests in an unoccupied space that you can see within range and uses the Elemental Spirit stat block. When you cast the spell, choose an element: Air, Earth, Fire, or Water. The creature resembles a bipedal form wreathed in the chosen element, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Elemental Spirit Medium Elemental, Neutral AC 11 + the spell’s level HP 50 + 10 for each spell level above 4 Speed 40 ft.; Burrow 40 ft. (Earth only); Fly 40 ft. (hover; Air only); Swim 40 ft. (Water only) Mod	Save STR	18	+4	+4 DEX	15	+2	+2 CON	17	+3	+3 Mod	Save INT	4	–3	–3 WIS	10	+0	+0 CHA	16	+3	+3 Resistances Acid (Water only), Lightning and Thunder (Air only), Piercing and Slashing (Earth only) Immunities Fire (Fire only), Poison; Exhaustion, Paralyzed, Petrified, Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Primordial, understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Amorphous Form (Air, Fire, and Water Only). The spirit can move through a space as narrow as 1 inch wide without it counting as Difficult Terrain. Actions Multiattack. The spirit makes a number of Slam attacks equal to half this spell’s level (round down). Slam. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 4 + the spell’s level Bludgeoning (Earth only), Cold (Water only), Lightning (Air only), or Fire (Fire only) damage. * - (air, a pebble, ash, and water inside a gold-inlaid vial worth 400+ GP)"
Summon Fey,3rd,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 3rd 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth a Fey spirit. It manifests in an unoccupied space that you can see within range and uses the Fey Spirit stat block. When you cast the spell, choose a mood: Fuming, Mirthful, or Tricksy. The creature resembles a Fey creature of your choice marked by the chosen mood, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Fey Spirit Small Fey, Neutral AC 12 + the spell’s level HP 30 + 10 for each spell level above 3 Speed 30 ft., Fly 30 ft. Mod	Save STR	13	+1	+1 DEX	16	+3	+3 CON	14	+2	+2 Mod	Save INT	14	+2	+2 WIS	11	+0	+0 CHA	16	+3	+3 Immunities Charmed Senses Darkvision 60 ft.; Passive Perception 10 Languages Sylvan, understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Actions Multiattack. The spirit makes a number of Fey Blade attacks equal to half this spell’s level (round down). Fey Blade. Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 2d6 + 3 + the spell’s level Force damage. Bonus Actions Fey Step. The spirit magically teleports up to 30 feet to an unoccupied space it can see. Then one of the following effects occurs, based on the spirit’s chosen mood: Fuming. The spirit has Advantage on the next attack roll it makes before the end of this turn. Mirthful. Wisdom Saving Throw: DC equals your spell save DC, one creature the spirit can see within 10 feet of itself. Failure: The target is Charmed by you and the spirit for 1 minute or until the target takes any damage. Tricksy. The spirit fills a 10-foot Cube within 5 feet of it with magical Darkness, which lasts until the end of its next turn. * - (a gilded flower worth 300+ GP)"
Summon Fiend,6th,Concentration,"Conjuration • V, S, M",1 Hour,,1 Action,"Summoning 6th 1 Action 90 ft. V, S, M * Concentration 1 Hour Conjuration None Summoning You call forth a fiendish spirit. It manifests in an unoccupied space that you can see within range and uses the Fiendish Spirit stat block. When you cast the spell, choose Demon, Devil, or Yugoloth. The creature resembles a Fiend of the chosen type, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Fiendish Spirit Large Fiend, Neutral AC 12 + the spell’s level HP 50 (Demon only) or 40 (Devil only) or 60 (Yugoloth only) + 15 for each spell level above 6 Speed 40 ft.; Climb 40 ft. (Demon only); Fly 60 ft. (Devil only) Mod	Save STR	13	+1	+1 DEX	16	+3	+3 CON	15	+2	+2 Mod	Save INT	10	+0	+0 WIS	10	+0	+0 CHA	16	+3	+3 Resistances Fire Immunities Poison; Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Abyssal, Infernal; telepathy 60 ft. CR None (XP 0; PB equals your Proficiency Bonus) Traits Death Throes (Demon Only). When the spirit drops to 0 Hit Points or the spell ends, the spirit explodes. Dexterity Saving Throw: DC equals your spell save DC, each creature in a 10-foot Emanation originating from the spirit. Failure: 2d10 plus this spell’s level Fire damage. Success: Half damage. Devil’s Sight (Devil Only). Magical Darkness doesn’t impede the spirit’s Darkvision. Magic Resistance. The spirit has Advantage on saving throws against spells and other magical eff ects. Actions Multiattack. The spirit makes a number of attacks equal to half this spell’s level (round down). Bite (Demon Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d12 + 3 + the spell’s level Necrotic damage. Claws (Yugoloth Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell’s level Slashing damage. Immediately after the attack hits or misses, the spirit can teleport up to 30 feet to an unoccupied space it can see. Fiery Strike (Devil Only). Melee or Ranged Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. or range 150 ft. Hit: 2d6 + 3 + the spell’s level Fire damage. * - (a bloody vial worth 600+ GP)"
Summon Undead,3rd,Concentration,"Necromancy • V, S, M",1 Hour,,1 Action,"Summoning 3rd 1 Action 90 ft. V, S, M * Concentration 1 Hour Necromancy None Summoning You call forth an Undead spirit. It manifests in an unoccupied space that you can see within range and uses the Undead Spirit stat block. When you cast the spell, choose the creature’s form: Ghostly, Putrid, or Skeletal. The spirit resembles an Undead creature with the chosen form, which determines certain details in its stat block. The creature disappears when it drops to 0 Hit Points or when the spell ends. The creature is an ally to you and your allies. In combat, the creature shares your Initiative count, but it takes its turn immediately after yours. It obeys your verbal commands (no action required by you). If you don’t issue any, it takes the Dodge action and uses its movement to avoid danger. Using a Higher-Level Spell Slot. Use the spell slot’s level for the spell’s level in the stat block. Undead Spirit Medium Undead, Neutral AC 11 + the spell’s level HP 30 (Ghostly and Putrid only) or 20 (Skeletal only) + 10 for each spell level above 3 Speed 30 ft.; Fly 40 ft. (hover; Ghostly only) Mod	Save STR	12	+1	+1 DEX	16	+3	+3 CON	15	+2	+2 Mod	Save INT	4	−3	−3 WIS	10	+0	+0 CHA	9	−1	−1 Immunities Necrotic, Poison; Exhaustion, Frightened, Paralyzed, Poisoned Senses Darkvision 60 ft.; Passive Perception 10 Languages Understands the languages you know CR None (XP 0; PB equals your Proficiency Bonus) Traits Festering Aura (Putrid Only). Constitution Saving Throw: DC equals your spell save DC, any creature (other than you) that starts its turn within a 5-foot Emanation originating from the spirit. Failure: The creature has the Poisoned condition until the start of its next turn. Incorporeal Passage (Ghostly Only). The spirit can move through other creatures and objects as if they were Difficult Terrain. If it ends its turn inside an object, it is shunted to the nearest unoccupied space and takes 1d10 Force damage for every 5 feet traveled. Actions Multiattack. The spirit makes a number of attacks equal to half this spell’s level (round down). Deathly Touch (Ghostly Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell’s level Necrotic damage, and the target has the Frightened condition until the end of its next turn. Grave Bolt (Skeletal Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 2d4 + 3 + the spell’s level Necrotic damage. Rotting Claw (Putrid Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d6 + 3 + the spell’s level Slashing damage. If the target has the Poisoned condition, it has the Paralyzed condition until the end of its next turn. * - (a gilded skull worth 300+ GP)"
Sunbeam,6th,Concentration,"Evocation • V, S, M",1 Minute,,1 Action,"(60 ft. ) CON Save Radiant 6th 1 Action Self (60 ft. ) V, S, M * Concentration 1 Minute Evocation CON Save Radiant You launch a sunbeam in a 5-foot-wide, 60-foot-long Line. Each creature in the Line makes a Constitution saving throw. On a failed save, a creature takes 6d8 Radiant damage and has the Blinded condition until the start of your next turn. On a successful save, it takes half as much damage only. Until the spell ends, you can take a Magic action to create a new Line of radiance. For the duration, a mote of brilliant radiance shines above you. It sheds Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. This light is sunlight. * - (a magnifying glass)"
Sunburst,8th,Evocation,1 Action,150 ft.,"V, S, M",Instantaneous,"CON Save Radiant 8th 1 Action 150 ft. (60 ft. ) V, S, M * Instantaneous Evocation CON Save Radiant Brilliant sunlight flashes in a 60-foot-radius Sphere centered on a point you choose within range. Each creature in the Sphere makes a Constitution saving throw. On a failed save, a creature takes 12d6 Radiant damage and has the Blinded condition for 1 minute. On a successful save, it takes half as much damage only. A creature Blinded by this spell makes another Constitution saving throw at the end of each of its turns, ending the effect on itself on a success. This spell dispels Darkness in its area that was created by any spell. * - (a piece of sunstone)"
Swift Quiver,5th,Concentration,"Transmutation • V, S, M",1 Minute,,1 Bonus Action,"Buff 5th 1 Bonus Action Self V, S, M * Concentration 1 Minute Transmutation None Buff When you cast the spell and as a Bonus Action until it ends, you can make two attacks with a weapon that fires Arrows or Bolts, such as a Longbow or a Light Crossbow. The spell magically creates the ammunition needed for each attack. Each Arrow or Bolt created by the spell deals damage like a nonmagical piece of ammunition of its kind and disintegrates immediately after it hits or misses. * - (a Quiver worth 1+ GP)"
Symbol,7th,Abjuration,1 Minute,Touch,"V, S, M",Until Dispelled or Triggered,"Necrotic 7th 1 Minute Touch (60 ft. ) V, S, M * Until Dispelled or Triggered Abjuration None Necrotic You inscribe a harmful glyph either on a surface (such as a section of floor or wall) or within an object that can be closed (such as a book or chest). The glyph can cover an area no larger than 10 feet in diameter. If you choose an object, it must remain in place; if it is moved more than 10 feet from where you cast this spell, the glyph is broken, and the spell ends without being triggered. The glyph is nearly imperceptible and requires a successful Wisdom (Perception) check against your spell save DC to notice. When you inscribe the glyph, you set its trigger and choose which effect the symbol bears: Death, Discord, Fear, Pain, Sleep, or Stunning. Each one is explained below. Set the Trigger. You decide what triggers the glyph when you cast the spell. For glyphs inscribed on a surface, common triggers include touching or stepping on the glyph, removing another object covering it, or approaching within a certain distance of it. For glyphs inscribed within an object, common triggers include opening that object or seeing the glyph. You can refine the trigger so that only creatures of certain types activate it (for example, the glyph could be set to affect Aberrations). You can also set conditions for creatures that don’t trigger the glyph, such as those who say a certain password. Once triggered, the glyph glows, filling a 60-foot-radius Sphere with Dim Light for 10 minutes, after which time the spell ends. Each creature in the Sphere when the glyph activates is targeted by its effect, as is a creature that enters the Sphere for the first time on a turn or ends its turn there. A creature is targeted only once per turn. Death. Each target makes a Constitution saving throw, taking 10d10 Necrotic damage on a failed save or half as much damage on a successful save. Discord. Each target makes a Wisdom saving throw. On a failed save, a target argues with other creatures for 1 minute. During this time, it is incapable of meaningful communication and has Disadvantage on attack rolls and ability checks. Fear. Each target must succeed on a Wisdom saving throw or have the Frightened condition for 1 minute. While Frightened, the target must move at least 30 feet away from the glyph on each of its turns, if able. Pain. Each target must succeed on a Constitution saving throw or have the Incapacitated condition for 1 minute. Sleep. Each target must succeed on a Wisdom saving throw or have the Unconscious condition for 10 minutes. A creature awakens if it takes damage or if someone takes an action to shake it awake. Stunning. Each target must succeed on a Wisdom saving throw or have the Stunned condition for 1 minute. * - (powdered diamond worth 1,000+ GP, which the spell consumes)"
Synaptic Static,5th,Enchantment,1 Action,120 ft.,"V, S",Instantaneous,"INT Save Psychic 5th 1 Action 120 ft. (20 ft. ) V, S Instantaneous Enchantment INT Save Psychic You cause psychic energy to erupt at a point within range. Each creature in a 20-foot-radius Sphere centered on that point makes an Intelligence saving throw, taking 8d6 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, a target also has muddled thoughts for 1 minute. During that time, it subtracts 1d6 from all its attack rolls and ability checks, as well as any Constitution saving throws to maintain Concentration. The target makes an Intelligence saving throw at the end of each of its turns, ending the effect on itself on a success."
Tasha's Bubbling Cauldron,6th,Conjuration,1 Action,5 ft.,"V, S, M",10 Minutes,"6th 1 Action 5 ft. V, S, M * 10 Minutes Conjuration None You conjure a claw-footed cauldron filled with bubbling liquid. The cauldron appears in an unoccupied space on the ground within 5 feet of you and lasts for the duration. The cauldron can’t be moved and disappears when the spell ends, along with the bubbling liquid inside it. The liquid in the cauldron duplicates the properties of a Common or an Uncommon potion of your choice (such as a Potion of Healing). As a Bonus Action, you or an ally can reach into the cauldron and withdraw one potion of that kind. The potion is contained in a vial that disappears when the potion is consumed. The cauldron can produce a number of these potions equal to your spellcasting ability modifier (minimum 1). When the last of these potions is withdrawn from the cauldron, the cauldron disappears, and the spell ends. Potions obtained from the cauldron that aren’t consumed disappear when you cast this spell again. * - (a gilded ladle worth 500 + GP)"
Tasha's Hideous Laughter,1st,Concentration,"Enchantment • V, S, M",1 Minute,,1 Action,"WIS Save Prone (...) 1st 1 Action 30 ft. V, S, M * Concentration 1 Minute Enchantment WIS Save Prone (...) One creature of your choice that you can see within range makes a Wisdom saving throw. On a failed save, it has the Prone and Incapacitated conditions for the duration. During that time, it laughs uncontrollably if it’s capable of laughter, and it can’t end the Prone condition on itself. At the end of each of its turns and each time it takes damage, it makes another Wisdom saving throw. The target has Advantage on the save if the save is triggered by damage. On a successful save, the spell ends. Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1. * - (a tart and a feather)"
Telekinesis,5th,Concentration,"Transmutation • V, S",10 Minutes,,1 Action,"Control (...) 5th 1 Action 60 ft. V, S Concentration 10 Minutes Transmutation None Control (...) You gain the ability to move or manipulate creatures or objects by thought. When you cast the spell and as a Magic action on your later turns before the spell ends, you can exert your will on one creature or object that you can see within range, causing the appropriate effect below. You can affect the same target round after round or choose a new one at any time. If you switch targets, the prior target is no longer affected by the spell. Creature. You can try to move a Huge or smaller creature. The target must succeed on a Strength saving throw, or you move it up to 30 feet in any direction within the spell’s range. Until the end of your next turn, the creature has the Restrained condition, and if you lift it into the air, it is suspended there. It falls at the end of your next turn unless you use this option on it again and it fails the save. Object. You can try to move a Huge or smaller object. If the object isn’t being worn or carried, you automatically move it up to 30 feet in any direction within the spell’s range. If the object is worn or carried by a creature, that creature must succeed on a Strength saving throw, or you pull the object away and move it up to 30 feet in any direction within the spell’s range. You can exert fine control on objects with your telekinetic grip, such as manipulating a simple tool, opening a door or a container, stowing or retrieving an item from an open container, or pouring the contents from a vial."
Telepathy,8th,Divination,1 Action,Unlimited,"V, S, M",24 Hours,"8th 1 Action Unlimited V, S, M * 24 Hours Divination None Communication You create a telepathic link between yourself and a willing creature with which you are familiar. The creature can be anywhere on the same plane of existence as you. The spell ends if you or the target are no longer on the same plane. Until the spell ends, you and the target can instantly share words, images, sounds, and other sensory messages with each other through the link, and the target recognizes you as the creature it is communicating with. The spell enables a creature to understand the meaning of your words and any sensory messages you send to it. * - (a pair of linked silver rings)"
